semantic_candidate_name,exact_dungeondraft_uri,asset_kind,compatible_mcp_operations,source,original_dungeondraft_category,original_dungeondraft_tags,dimensions_or_scale,discovery_status,validation_status
"Food Carrot 05","res://textures/objects/activities/cooking/food_carrot_05.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Food Chicleg 02","res://textures/objects/activities/cooking/food_chicleg_02.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Food Fish 01","res://textures/objects/activities/cooking/food_fish_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Food Greens 04","res://textures/objects/activities/cooking/food_greens_04.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Food Leek 05","res://textures/objects/activities/cooking/food_leek_05.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Food Onion 06","res://textures/objects/activities/cooking/food_onion_06.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Food Onion 07","res://textures/objects/activities/cooking/food_onion_07.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Food Roots 08","res://textures/objects/activities/cooking/food_roots_08.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Oven 01","res://textures/objects/activities/cooking/oven_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Oven 02","res://textures/objects/activities/cooking/oven_02.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Pan","res://textures/objects/activities/cooking/pan.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Pig Roast","res://textures/objects/activities/cooking/pig_roast.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Pizza","res://textures/objects/activities/cooking/pizza.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Potatoes","res://textures/objects/activities/cooking/potatoes.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Spit Roast 01","res://textures/objects/activities/cooking/spit_roast_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Spit Roast 02","res://textures/objects/activities/cooking/spit_roast_02.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Stove 01","res://textures/objects/activities/cooking/stove_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Stove 02 Roman","res://textures/objects/activities/cooking/stove_02_roman.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Stove 03 Russian","res://textures/objects/activities/cooking/stove_03_russian.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Stove 04 Detail","res://textures/objects/activities/cooking/stove_04_detail.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Berries","res://textures/objects/activities/dining/berries.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Big Bowl 01","res://textures/objects/activities/dining/big_bowl_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Big Bowl 02","res://textures/objects/activities/dining/big_bowl_02.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Big Bowl 03","res://textures/objects/activities/dining/big_bowl_03.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Big Bowl 04","res://textures/objects/activities/dining/big_bowl_04.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Big Bowl 05","res://textures/objects/activities/dining/big_bowl_05.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Bottle","res://textures/objects/activities/dining/bottle.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Bottle 01","res://textures/objects/activities/dining/bottle_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Cup","res://textures/objects/activities/dining/cup.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Food Bread 01","res://textures/objects/activities/dining/food_bread_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Food Bread 02","res://textures/objects/activities/dining/food_bread_02.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Food Meat Leg 03","res://textures/objects/activities/dining/food_meat_leg_03.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Fork","res://textures/objects/activities/dining/fork.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Knife 01","res://textures/objects/activities/dining/knife_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Knife 02","res://textures/objects/activities/dining/knife_02.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Pitcher","res://textures/objects/activities/dining/pitcher.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Plate","res://textures/objects/activities/dining/plate.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Plate 01","res://textures/objects/activities/dining/plate_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Plate 02","res://textures/objects/activities/dining/plate_02.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Saucer 01","res://textures/objects/activities/dining/saucer_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Saucer 02","res://textures/objects/activities/dining/saucer_02.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Saucer 03","res://textures/objects/activities/dining/saucer_03.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Saucer 04","res://textures/objects/activities/dining/saucer_04.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Spoon","res://textures/objects/activities/dining/spoon.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Beet 01","res://textures/objects/activities/farming/beet_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Beet 02","res://textures/objects/activities/farming/beet_02.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Beet 03","res://textures/objects/activities/farming/beet_03.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Beet 04","res://textures/objects/activities/farming/beet_04.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Cabbage 01","res://textures/objects/activities/farming/cabbage_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Cabbage 02","res://textures/objects/activities/farming/cabbage_02.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Cabbage 03","res://textures/objects/activities/farming/cabbage_03.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Cabbage 04","res://textures/objects/activities/farming/cabbage_04.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Root 01","res://textures/objects/activities/farming/root_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Root 02","res://textures/objects/activities/farming/root_02.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Root 03","res://textures/objects/activities/farming/root_03.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Scarecrow 01","res://textures/objects/activities/farming/scarecrow_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Scarecrow 02","res://textures/objects/activities/farming/scarecrow_02.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Log Cutter","res://textures/objects/activities/logging/log_cutter.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Log Pile 01","res://textures/objects/activities/logging/log_pile_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Log Pile 02","res://textures/objects/activities/logging/log_pile_02.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Log Pile 03","res://textures/objects/activities/logging/log_pile_03.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Log Pile 04","res://textures/objects/activities/logging/log_pile_04.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Mine Cart","res://textures/objects/activities/mining/mine_cart.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Mine Cart 02","res://textures/objects/activities/mining/mine_cart_02.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Plank 01","res://textures/objects/activities/mining/plank_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Plank 02","res://textures/objects/activities/mining/plank_02.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Anvil","res://textures/objects/activities/smithing/anvil.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Bellows Big","res://textures/objects/activities/smithing/bellows_big.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Bellows Small","res://textures/objects/activities/smithing/bellows_small.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Blacksmith Tool 01","res://textures/objects/activities/smithing/blacksmith_tool_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Blacksmith Tool 05 Anvil","res://textures/objects/activities/smithing/blacksmith_tool_05_anvil.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Chisel","res://textures/objects/activities/smithing/chisel.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Coal Bag","res://textures/objects/activities/smithing/coal_bag.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Design Table 01","res://textures/objects/activities/smithing/design_table_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Design Table 02","res://textures/objects/activities/smithing/design_table_02.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Forge Small 01","res://textures/objects/activities/smithing/forge_small_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Forge Small 02","res://textures/objects/activities/smithing/forge_small_02.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Furnace","res://textures/objects/activities/smithing/furnace.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Grinding Wheel","res://textures/objects/activities/smithing/grinding_wheel.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Hammer","res://textures/objects/activities/smithing/hammer.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Mandrel","res://textures/objects/activities/smithing/mandrel.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Metal Bar","res://textures/objects/activities/smithing/metal_bar.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Slack Tub","res://textures/objects/activities/smithing/slack_tub.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Tongs","res://textures/objects/activities/smithing/tongs.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Workbench","res://textures/objects/activities/smithing/workbench.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Camp Bed 01","res://textures/objects/camp/camp_bed_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Camp Bed 02","res://textures/objects/camp/camp_bed_02.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Camp Bed 03","res://textures/objects/camp/camp_bed_03.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Camp Bed 04","res://textures/objects/camp/camp_bed_04.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Camp Mat 01","res://textures/objects/camp/camp_mat_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Camp Mat 02","res://textures/objects/camp/camp_mat_02.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Campfire 01","res://textures/objects/camp/campfire_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Campfire 02","res://textures/objects/camp/campfire_02.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Campfire 03","res://textures/objects/camp/campfire_03.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Campfire 04","res://textures/objects/camp/campfire_04.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Campfire 05","res://textures/objects/camp/campfire_05.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Campfire 06","res://textures/objects/camp/campfire_06.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Campfire 07","res://textures/objects/camp/campfire_07.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Campfire 08","res://textures/objects/camp/campfire_08.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Carnival Tent 01","res://textures/objects/camp/carnival_tent_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Carnival Tent 02","res://textures/objects/camp/carnival_tent_02.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Carnival Tent 03","res://textures/objects/camp/carnival_tent_03.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Hammock 01","res://textures/objects/camp/hammock_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Hammock 02","res://textures/objects/camp/hammock_02.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Hammock 03","res://textures/objects/camp/hammock_03.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Hammock 04","res://textures/objects/camp/hammock_04.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Hammock 05","res://textures/objects/camp/hammock_05.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Tent 01","res://textures/objects/camp/tent_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Tent 02","res://textures/objects/camp/tent_02.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Tent 03","res://textures/objects/camp/tent_03.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Tent 04","res://textures/objects/camp/tent_04.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Tent 05","res://textures/objects/camp/tent_05.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Tent 06","res://textures/objects/camp/tent_06.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Seafolk 10","res://textures/objects/characters/seafolk/seafolk _10.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Seafolk 9","res://textures/objects/characters/seafolk/seafolk _9.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Seafolk 1","res://textures/objects/characters/seafolk/seafolk_1.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Seafolk 11","res://textures/objects/characters/seafolk/seafolk_11.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Seafolk 2","res://textures/objects/characters/seafolk/seafolk_2.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Seafolk 3","res://textures/objects/characters/seafolk/seafolk_3.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Seafolk 4","res://textures/objects/characters/seafolk/seafolk_4.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Seafolk 5","res://textures/objects/characters/seafolk/seafolk_5.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Seafolk 6","res://textures/objects/characters/seafolk/seafolk_6.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Seafolk 7","res://textures/objects/characters/seafolk/seafolk_7.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Seafolk 8","res://textures/objects/characters/seafolk/seafolk_8.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Boulder 01","res://textures/objects/clutter/boulders/boulder_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Boulder 02","res://textures/objects/clutter/boulders/boulder_02.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Boulder 03","res://textures/objects/clutter/boulders/boulder_03.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Boulder 04","res://textures/objects/clutter/boulders/boulder_04.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Boulder 05","res://textures/objects/clutter/boulders/boulder_05.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Boulder 06","res://textures/objects/clutter/boulders/boulder_06.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Boulder 07","res://textures/objects/clutter/boulders/boulder_07.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Boulder 08","res://textures/objects/clutter/boulders/boulder_08.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Boulder 09","res://textures/objects/clutter/boulders/boulder_09.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Boulder 10","res://textures/objects/clutter/boulders/boulder_10.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Boulder 11","res://textures/objects/clutter/boulders/boulder_11.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Boulder 12","res://textures/objects/clutter/boulders/boulder_12.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Boulder 13","res://textures/objects/clutter/boulders/boulder_13.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Boulder 14","res://textures/objects/clutter/boulders/boulder_14.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Boulder 15","res://textures/objects/clutter/boulders/boulder_15.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Boulder 16","res://textures/objects/clutter/boulders/boulder_16.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Boulder 17","res://textures/objects/clutter/boulders/boulder_17.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Boulder 18","res://textures/objects/clutter/boulders/boulder_18.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Boulder 19","res://textures/objects/clutter/boulders/boulder_19.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Boulder 20","res://textures/objects/clutter/boulders/boulder_20.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
"Cave Crystals 01","res://textures/objects/clutter/cavern/cave_crystals_01.png","object","place_object","dungeondraft-built-in","Objects","","","mcp-list-assets","loaded-registry-listed"
